Nome,Email,WhatsApp,Valor Conta,Fase,Distribuidora,Status,Data Criacao
"Padaria Real",padariareal55@gmail.com,(31) 94461-6835,3591,TRIFASICO,CEMIG Minas Gerais,new,2025-11-25T04:33:17.734Z
"Açougue do Bairro Express",aouguedobairroexpress55@gmail.com,(31) 92641-3614,1798,TRIFASICO,CEMIG Minas Gerais,new,2025-10-30T17:37:11.862Z
"Sorveteria Mais Express",sorveteriamaisexpress94@gmail.com,(31) 93609-2590,1459,BIFASICO,CEMIG Minas Gerais,new,2025-11-18T07:24:08.391Z
"Mercado Premium Ltda",mercadopremiumltda8@gmail.com,(31) 92156-3449,1597,TRIFASICO,CEMIG Minas Gerais,new,2025-11-12T00:44:52.267Z
"Padaria Real Express",padariarealexpress30@gmail.com,(31) 90432-9127,2165,TRIFASICO,CEMIG Minas Gerais,new,2025-11-29T13:47:26.658Z
"Mercado Central Express",mercadocentralexpress40@gmail.com,(31) 96078-7159,1533,BIFASICO,CEMIG Minas Gerais,new,2025-12-02T00:52:34.169Z
"Geraldo Oliveira",geraldooliveira36@gmail.com,(31) 91770-5779,913,TRIFASICO,CEMIG Minas Gerais,new,2025-12-10T08:39:56.058Z
"Rafael Ferreira",rafaelferreira8@gmail.com,(31) 94897-6349,1644,MONOFASICO,CEMIG Minas Gerais,new,2025-11-03T21:01:29.609Z
"Ana Rodrigues",anarodrigues10@gmail.com,(31) 99400-4790,3217,BIFASICO,CEMIG Minas Gerais,new,2025-10-18T21:57:30.530Z
"Mercado Real e Cia",mercadorealecia59@gmail.com,(31) 99368-8177,4256,BIFASICO,CEMIG Minas Gerais,new,2025-12-08T07:36:51.312Z
"Antonio Almeida",antonioalmeida57@gmail.com,(31) 93971-0233,3816,MONOFASICO,CEMIG Minas Gerais,new,2025-11-28T17:43:30.838Z
"Padaria do Bairro Express",padariadobairroexpress15@gmail.com,(31) 92916-2510,763,BIFASICO,CEMIG Minas Gerais,new,2025-11-12T11:55:14.802Z
"Sorveteria Mais",sorveteriamais64@gmail.com,(31) 92648-9754,3246,BIFASICO,CEMIG Minas Gerais,new,2025-11-04T04:31:23.287Z
"Mercado do Bairro Express",mercadodobairroexpress65@gmail.com,(31) 98634-6721,4619,BIFASICO,CEMIG Minas Gerais,new,2025-12-23T06:23:33.752Z
"Sorveteria Mais Express",sorveteriamaisexpress82@gmail.com,(31) 97139-4142,1802,BIFASICO,CEMIG Minas Gerais,new,2025-11-04T04:23:59.131Z
"Sandra Oliveira",sandraoliveira94@gmail.com,(31) 90913-8297,2867,TRIFASICO,CEMIG Minas Gerais,new,2026-01-02T21:01:39.981Z
"Sandra Martins",sandramartins49@gmail.com,(31) 94850-9695,1796,TRIFASICO,CEMIG Minas Gerais,new,2026-01-06T14:01:28.411Z
"Mercado Puro",mercadopuro53@gmail.com,(31) 97923-7077,2939,TRIFASICO,CEMIG Minas Gerais,new,2025-12-05T01:47:43.381Z
"Carlos Carvalho",carloscarvalho41@gmail.com,(31) 96436-0547,4069,TRIFASICO,CEMIG Minas Gerais,new,2025-10-28T18:21:05.309Z
"Mercado Puro e Cia",mercadopuroecia36@gmail.com,(31) 90045-3667,752,TRIFASICO,CEMIG Minas Gerais,new,2025-10-23T08:03:42.112Z
"Sorveteria Central e Cia",sorveteriacentralecia80@gmail.com,(31) 93431-7783,921,MONOFASICO,CEMIG Minas Gerais,new,2026-01-05T19:14:19.258Z
"Açougue Real Express",aouguerealexpress97@gmail.com,(31) 96583-2312,388,BIFASICO,CEMIG Minas Gerais,new,2025-10-14T01:12:20.031Z
"Açougue Premium Ltda",aouguepremiumltda95@gmail.com,(31) 98868-9026,3844,TRIFASICO,CEMIG Minas Gerais,new,2025-11-07T18:56:35.078Z
"Padaria Tropical e Cia",padariatropicalecia18@gmail.com,(31) 97730-0625,4965,TRIFASICO,CEMIG Minas Gerais,new,2025-10-26T09:42:05.198Z
"Sorveteria Mais e Cia",sorveteriamaisecia49@gmail.com,(31) 91299-5817,2340,BIFASICO,CEMIG Minas Gerais,new,2025-11-15T14:39:45.173Z
"Mercado Central",mercadocentral33@gmail.com,(31) 97381-1747,998,BIFASICO,CEMIG Minas Gerais,new,2025-10-24T20:11:19.054Z
"Sorveteria Mais Express",sorveteriamaisexpress22@gmail.com,(31) 97309-1465,3751,TRIFASICO,CEMIG Minas Gerais,new,2025-11-20T19:57:39.562Z
"Sorveteria Mais Express",sorveteriamaisexpress33@gmail.com,(31) 92161-8988,4616,TRIFASICO,CEMIG Minas Gerais,new,2025-11-01T19:30:55.011Z
"Padaria Real",padariareal4@gmail.com,(31) 97072-7218,2634,TRIFASICO,CEMIG Minas Gerais,new,2026-01-06T21:39:33.924Z
"Padaria do Bairro Express",padariadobairroexpress25@gmail.com,(31) 93543-0958,1407,MONOFASICO,CEMIG Minas Gerais,new,2025-11-29T06:43:22.944Z
"Patricia Pereira",patriciapereira28@gmail.com,(31) 94145-4136,2357,BIFASICO,CEMIG Minas Gerais,new,2025-11-26T11:57:18.433Z
"Padaria Premium",padariapremium61@gmail.com,(31) 91393-9422,4295,TRIFASICO,CEMIG Minas Gerais,new,2025-11-12T10:56:40.653Z
"Açougue Puro",aouguepuro42@gmail.com,(31) 97273-0983,644,BIFASICO,CEMIG Minas Gerais,new,2025-10-14T08:57:00.998Z
"Açougue Gostoso e Cia",aouguegostosoecia57@gmail.com,(31) 91775-7226,1683,TRIFASICO,CEMIG Minas Gerais,new,2025-12-15T13:47:00.577Z
"Mercado Mineiro e Cia",mercadomineiroecia8@gmail.com,(31) 95434-6956,1008,MONOFASICO,CEMIG Minas Gerais,new,2025-11-09T06:22:18.064Z
"Sorveteria Real e Cia",sorveteriarealecia45@gmail.com,(31) 92739-1188,4734,MONOFASICO,CEMIG Minas Gerais,new,2026-01-06T06:34:52.721Z
"José Silva",jossilva2@gmail.com,(31) 91539-1094,2679,TRIFASICO,CEMIG Minas Gerais,new,2025-11-15T17:44:04.699Z
"João Ribeiro",jooribeiro74@gmail.com,(31) 96278-5534,622,TRIFASICO,CEMIG Minas Gerais,new,2025-12-08T04:56:00.126Z
"Padaria Real",padariareal68@gmail.com,(31) 96628-1042,1621,BIFASICO,CEMIG Minas Gerais,new,2025-11-13T21:35:57.667Z
"Açougue Tropical Express",aouguetropicalexpress92@gmail.com,(31) 91086-4641,2293,BIFASICO,CEMIG Minas Gerais,new,2025-10-18T02:09:45.363Z
"Mercado do Bairro Express",mercadodobairroexpress28@gmail.com,(31) 95708-6452,2297,BIFASICO,CEMIG Minas Gerais,new,2025-12-07T08:02:28.807Z
"Sorveteria Mineiro e Cia",sorveteriamineiroecia53@gmail.com,(31) 99499-1165,3213,TRIFASICO,CEMIG Minas Gerais,new,2026-01-01T10:15:57.655Z
"Padaria Real Ltda",padariarealltda33@gmail.com,(31) 94842-0906,2652,TRIFASICO,CEMIG Minas Gerais,new,2025-12-09T05:19:20.483Z
"Mercado do Bairro Ltda",mercadodobairroltda78@gmail.com,(31) 99923-6163,4269,BIFASICO,CEMIG Minas Gerais,new,2025-10-18T02:05:05.427Z
"João Costa",joocosta42@gmail.com,(31) 95442-7389,1093,MONOFASICO,CEMIG Minas Gerais,new,2025-10-25T03:36:05.242Z
"Açougue do Bairro Express",aouguedobairroexpress40@gmail.com,(31) 96395-8319,3796,TRIFASICO,CEMIG Minas Gerais,new,2025-11-22T13:20:34.990Z
"Camila Oliveira",camilaoliveira17@gmail.com,(31) 96199-1679,1510,TRIFASICO,CEMIG Minas Gerais,new,2025-10-24T08:41:57.096Z
"Lucas Gomes",lucasgomes94@gmail.com,(31) 98872-1536,3176,TRIFASICO,CEMIG Minas Gerais,new,2025-11-25T23:40:38.321Z
"Padaria Gostoso Express",padariagostosoexpress75@gmail.com,(31) 96946-4089,671,TRIFASICO,CEMIG Minas Gerais,new,2025-12-27T14:46:26.656Z
"Padaria do Bairro Ltda",padariadobairroltda97@gmail.com,(31) 94536-9824,2712,MONOFASICO,CEMIG Minas Gerais,new,2025-11-27T08:20:37.526Z
"Padaria Gostoso e Cia",padariagostosoecia75@gmail.com,(31) 90824-7591,2386,MONOFASICO,CEMIG Minas Gerais,new,2025-11-10T10:29:50.871Z
"Padaria Sabor Ltda",padariasaborltda96@gmail.com,(31) 96801-3508,2046,MONOFASICO,CEMIG Minas Gerais,new,2025-12-12T04:29:00.940Z
"Sorveteria Puro",sorveteriapuro40@gmail.com,(31) 94225-0247,1098,BIFASICO,CEMIG Minas Gerais,new,2025-10-20T21:06:35.713Z
"Padaria Premium Ltda",padariapremiumltda67@gmail.com,(31) 97507-2826,2411,BIFASICO,CEMIG Minas Gerais,new,2025-11-13T09:28:53.956Z
"Açougue Premium Express",aouguepremiumexpress18@gmail.com,(31) 98935-2779,1621,BIFASICO,CEMIG Minas Gerais,new,2025-12-25T19:39:27.334Z
"Açougue Puro Ltda",aouguepuroltda30@gmail.com,(31) 92351-2949,1190,BIFASICO,CEMIG Minas Gerais,new,2025-11-17T13:08:07.152Z
"Mercado Puro e Cia",mercadopuroecia83@gmail.com,(31) 91256-8041,4619,BIFASICO,CEMIG Minas Gerais,new,2025-12-30T01:23:32.046Z
"Açougue Tropical e Cia",aouguetropicalecia3@gmail.com,(31) 92117-0390,314,MONOFASICO,CEMIG Minas Gerais,new,2025-10-31T07:45:05.147Z
"Antonio Santos",antoniosantos0@gmail.com,(31) 97444-9096,3253,MONOFASICO,CEMIG Minas Gerais,new,2025-10-14T18:20:33.896Z
"Juliana Ribeiro",julianaribeiro58@gmail.com,(31) 97151-8069,1773,MONOFASICO,CEMIG Minas Gerais,new,2025-12-30T19:21:29.435Z
"Sandra Alves",sandraalves20@gmail.com,(31) 92746-2111,542,BIFASICO,CEMIG Minas Gerais,new,2025-11-28T06:31:49.706Z
"Mercado Central Express",mercadocentralexpress16@gmail.com,(31) 95864-3830,1976,BIFASICO,CEMIG Minas Gerais,new,2025-12-08T04:32:47.656Z
"Mercado Sabor",mercadosabor39@gmail.com,(31) 92761-9438,4505,MONOFASICO,CEMIG Minas Gerais,new,2025-11-21T23:56:18.565Z
"Rafael Rodrigues",rafaelrodrigues87@gmail.com,(31) 94315-5204,3226,TRIFASICO,CEMIG Minas Gerais,new,2025-10-18T20:40:54.961Z
"Mercado Mineiro e Cia",mercadomineiroecia91@gmail.com,(31) 96521-2555,2182,TRIFASICO,CEMIG Minas Gerais,new,2025-12-21T01:53:22.349Z
"Juliana Rodrigues",julianarodrigues47@gmail.com,(31) 97863-3644,730,BIFASICO,CEMIG Minas Gerais,new,2025-10-20T10:13:32.130Z
"Antonio Santos",antoniosantos98@gmail.com,(31) 92722-1844,4196,BIFASICO,CEMIG Minas Gerais,new,2026-01-06T21:15:51.182Z
"Geraldo Oliveira",geraldooliveira66@gmail.com,(31) 98605-6005,603,BIFASICO,CEMIG Minas Gerais,new,2025-10-18T04:36:45.462Z
"Padaria Central Ltda",padariacentralltda54@gmail.com,(31) 98498-6861,4728,TRIFASICO,CEMIG Minas Gerais,new,2025-11-12T11:39:29.262Z
"Maria Santos",mariasantos49@gmail.com,(31) 98196-1485,900,TRIFASICO,CEMIG Minas Gerais,new,2025-10-16T00:25:55.181Z
"João Santos",joosantos40@gmail.com,(31) 97110-7567,588,TRIFASICO,CEMIG Minas Gerais,new,2025-11-25T15:32:12.449Z
"Açougue Mais Ltda",aouguemaisltda83@gmail.com,(31) 94604-4404,2815,BIFASICO,CEMIG Minas Gerais,new,2025-11-20T01:49:15.978Z
"Mercado do Bairro Express",mercadodobairroexpress15@gmail.com,(31) 91829-9865,4599,TRIFASICO,CEMIG Minas Gerais,new,2026-01-02T17:26:15.117Z
"Padaria Puro Ltda",padariapuroltda69@gmail.com,(31) 95663-3725,1359,TRIFASICO,CEMIG Minas Gerais,new,2025-12-14T19:51:02.639Z
"Francisco Santos",franciscosantos28@gmail.com,(31) 95716-3399,2539,TRIFASICO,CEMIG Minas Gerais,new,2025-12-13T14:42:48.111Z
"Mercado do Bairro Express",mercadodobairroexpress60@gmail.com,(31) 97157-9049,762,BIFASICO,CEMIG Minas Gerais,new,2025-10-17T20:55:12.226Z
"Sorveteria do Bairro e Cia",sorveteriadobairroecia43@gmail.com,(31) 94182-3097,4768,MONOFASICO,CEMIG Minas Gerais,new,2025-12-05T13:34:45.393Z
"Patricia Pereira",patriciapereira51@gmail.com,(31) 94708-1312,3132,TRIFASICO,CEMIG Minas Gerais,new,2025-10-13T03:56:53.557Z
"Açougue Gostoso Ltda",aouguegostosoltda7@gmail.com,(31) 90718-2484,2225,TRIFASICO,CEMIG Minas Gerais,new,2025-11-13T22:29:11.856Z
"Açougue Mineiro e Cia",aouguemineiroecia48@gmail.com,(31) 91859-7748,667,BIFASICO,CEMIG Minas Gerais,new,2025-12-12T09:42:13.565Z
"Padaria do Bairro e Cia",padariadobairroecia76@gmail.com,(31) 91700-0685,3798,BIFASICO,CEMIG Minas Gerais,new,2025-11-27T13:03:27.713Z
"Mercado Mineiro Express",mercadomineiroexpress58@gmail.com,(31) 97422-4741,548,MONOFASICO,CEMIG Minas Gerais,new,2025-11-22T20:34:50.168Z
"Padaria Tropical Express",padariatropicalexpress66@gmail.com,(31) 95943-3718,2102,BIFASICO,CEMIG Minas Gerais,new,2025-11-10T00:44:01.732Z
"Carlos Silva",carlossilva13@gmail.com,(31) 98781-9004,2445,BIFASICO,CEMIG Minas Gerais,new,2025-11-26T21:03:32.473Z
"Sorveteria Puro e Cia",sorveteriapuroecia41@gmail.com,(31) 94348-0403,1597,MONOFASICO,CEMIG Minas Gerais,new,2025-12-04T21:50:22.876Z
"Padaria Premium Express",padariapremiumexpress58@gmail.com,(31) 98492-2469,4026,TRIFASICO,CEMIG Minas Gerais,new,2025-10-10T06:35:33.060Z
"Sandra Rodrigues",sandrarodrigues23@gmail.com,(31) 90463-5739,2746,BIFASICO,CEMIG Minas Gerais,new,2025-12-13T22:49:26.372Z
"Beatriz Silva",beatrizsilva94@gmail.com,(31) 98481-9331,2475,TRIFASICO,CEMIG Minas Gerais,new,2025-11-29T08:04:14.973Z
"Camila Martins",camilamartins42@gmail.com,(31) 92849-5634,2110,TRIFASICO,CEMIG Minas Gerais,new,2025-10-10T12:33:55.369Z
"Fernanda Oliveira",fernandaoliveira85@gmail.com,(31) 90745-6430,3864,MONOFASICO,CEMIG Minas Gerais,new,2025-10-18T14:58:06.417Z
"Açougue Premium",aouguepremium31@gmail.com,(31) 95253-9335,4171,BIFASICO,CEMIG Minas Gerais,new,2025-11-14T03:36:58.265Z
"Sorveteria Real Ltda",sorveteriarealltda73@gmail.com,(31) 99434-5653,4009,TRIFASICO,CEMIG Minas Gerais,new,2025-12-19T12:10:25.801Z
"Lucas Almeida",lucasalmeida73@gmail.com,(31) 99086-3163,489,BIFASICO,CEMIG Minas Gerais,new,2025-12-23T07:55:17.150Z
"Açougue Tropical Ltda",aouguetropicalltda42@gmail.com,(31) 99158-3262,1294,TRIFASICO,CEMIG Minas Gerais,new,2025-11-09T22:35:01.346Z
"Marcos Costa",marcoscosta26@gmail.com,(31) 97950-5526,4119,TRIFASICO,CEMIG Minas Gerais,new,2025-11-15T11:29:02.458Z
"Mercado Mineiro Ltda",mercadomineiroltda13@gmail.com,(31) 96331-5834,2203,TRIFASICO,CEMIG Minas Gerais,new,2025-11-09T18:41:33.945Z
"Sorveteria Puro",sorveteriapuro51@gmail.com,(31) 92663-0168,3319,BIFASICO,CEMIG Minas Gerais,new,2025-11-24T13:32:12.636Z
"João Santos",joosantos4@gmail.com,(31) 93791-6009,1314,TRIFASICO,CEMIG Minas Gerais,new,2025-12-02T05:46:20.415Z
"Sorveteria Mineiro Ltda",sorveteriamineiroltda57@gmail.com,(31) 93958-0706,4125,BIFASICO,CEMIG Minas Gerais,new,2025-12-17T12:20:37.361Z
"Mercado Central e Cia",mercadocentralecia10@gmail.com,(31) 93209-2949,2094,TRIFASICO,CEMIG Minas Gerais,new,2025-11-10T07:04:05.851Z
"Açougue Mineiro Express",aouguemineiroexpress58@gmail.com,(31) 98073-3313,2757,TRIFASICO,CEMIG Minas Gerais,new,2025-12-28T16:17:48.207Z
"Geraldo Silva",geraldosilva61@gmail.com,(31) 93764-6670,423,MONOFASICO,CEMIG Minas Gerais,new,2025-12-13T13:07:26.067Z
"Sorveteria Tropical Express",sorveteriatropicalexpress94@gmail.com,(31) 90182-8947,4050,TRIFASICO,CEMIG Minas Gerais,new,2025-10-15T20:52:34.930Z
"Francisco Martins",franciscomartins48@gmail.com,(31) 97165-4923,3184,MONOFASICO,CEMIG Minas Gerais,new,2025-12-25T03:21:21.001Z
"Lucas Silva",lucassilva64@gmail.com,(31) 98296-6377,3973,BIFASICO,CEMIG Minas Gerais,new,2025-10-23T21:53:33.286Z
"Padaria Real Express",padariarealexpress10@gmail.com,(31) 96250-0975,1508,BIFASICO,CEMIG Minas Gerais,new,2025-11-14T10:50:52.420Z
"Açougue Puro Express",aouguepuroexpress61@gmail.com,(31) 96516-6478,4125,TRIFASICO,CEMIG Minas Gerais,new,2025-11-27T08:40:58.184Z
"Carlos Santos",carlossantos89@gmail.com,(31) 90185-6088,652,BIFASICO,CEMIG Minas Gerais,new,2025-12-06T19:18:21.421Z
"Padaria Puro",padariapuro93@gmail.com,(31) 94021-9908,1656,BIFASICO,CEMIG Minas Gerais,new,2025-11-09T15:38:16.497Z
"Açougue Central Ltda",aouguecentralltda94@gmail.com,(31) 95887-4193,4755,TRIFASICO,CEMIG Minas Gerais,new,2025-11-14T17:46:51.061Z
"Lucas Oliveira",lucasoliveira20@gmail.com,(31) 95138-6651,3870,MONOFASICO,CEMIG Minas Gerais,new,2025-12-28T02:55:22.271Z
"Açougue Gostoso Express",aouguegostosoexpress21@gmail.com,(31) 97952-1950,2166,MONOFASICO,CEMIG Minas Gerais,new,2026-01-07T05:17:24.293Z
"João Rodrigues",joorodrigues50@gmail.com,(31) 92777-4137,4528,MONOFASICO,CEMIG Minas Gerais,new,2025-12-12T18:30:09.024Z
"Açougue Sabor",aouguesabor27@gmail.com,(31) 92187-4717,1844,BIFASICO,CEMIG Minas Gerais,new,2025-11-06T07:06:56.464Z
"Sorveteria Mais e Cia",sorveteriamaisecia46@gmail.com,(31) 91573-8121,2446,BIFASICO,CEMIG Minas Gerais,new,2025-10-09T19:34:45.353Z
"Mercado Central Express",mercadocentralexpress32@gmail.com,(31) 98718-2772,1802,TRIFASICO,CEMIG Minas Gerais,new,2025-10-13T11:27:26.402Z
"Açougue Central",aouguecentral89@gmail.com,(31) 97822-1132,4071,BIFASICO,CEMIG Minas Gerais,new,2025-11-19T00:29:41.119Z
"Mercado Real e Cia",mercadorealecia67@gmail.com,(31) 96010-9821,1363,BIFASICO,CEMIG Minas Gerais,new,2025-11-10T04:56:27.417Z
"Mercado Central e Cia",mercadocentralecia95@gmail.com,(31) 98751-6842,4407,TRIFASICO,CEMIG Minas Gerais,new,2025-11-23T10:58:57.669Z
"Mercado Puro e Cia",mercadopuroecia38@gmail.com,(31) 91338-5088,3760,TRIFASICO,CEMIG Minas Gerais,new,2026-01-05T14:19:36.898Z
"Açougue do Bairro Express",aouguedobairroexpress82@gmail.com,(31) 99705-1603,4970,MONOFASICO,CEMIG Minas Gerais,new,2025-12-22T13:00:40.855Z
"Açougue Tropical e Cia",aouguetropicalecia24@gmail.com,(31) 90814-8147,2908,MONOFASICO,CEMIG Minas Gerais,new,2026-01-07T12:00:58.424Z
"Patricia Pereira",patriciapereira12@gmail.com,(31) 92469-7400,4330,MONOFASICO,CEMIG Minas Gerais,new,2025-12-20T08:19:37.691Z
"Padaria Sabor e Cia",padariasaborecia34@gmail.com,(31) 98689-4994,4952,TRIFASICO,CEMIG Minas Gerais,new,2025-11-21T08:41:15.859Z
"Sorveteria Sabor",sorveteriasabor34@gmail.com,(31) 95551-7076,415,TRIFASICO,CEMIG Minas Gerais,new,2025-12-24T08:56:21.840Z
"Padaria Mais Express",padariamaisexpress72@gmail.com,(31) 92124-2779,2409,BIFASICO,CEMIG Minas Gerais,new,2025-10-29T07:58:31.245Z
"Padaria Sabor e Cia",padariasaborecia85@gmail.com,(31) 90298-8328,3953,TRIFASICO,CEMIG Minas Gerais,new,2025-11-12T01:36:47.217Z
"Açougue Puro Express",aouguepuroexpress74@gmail.com,(31) 98135-2683,2552,TRIFASICO,CEMIG Minas Gerais,new,2026-01-05T22:57:25.591Z
"Açougue Mais",aouguemais35@gmail.com,(31) 97261-6130,3204,TRIFASICO,CEMIG Minas Gerais,new,2025-12-18T15:50:08.518Z
"Geraldo Silva",geraldosilva16@gmail.com,(31) 94984-5370,2143,BIFASICO,CEMIG Minas Gerais,new,2025-11-18T21:49:09.173Z
"Rafael Pereira",rafaelpereira98@gmail.com,(31) 93368-3917,1818,TRIFASICO,CEMIG Minas Gerais,new,2025-12-29T07:17:58.030Z
"Açougue Central Express",aouguecentralexpress29@gmail.com,(31) 94165-2009,3965,MONOFASICO,CEMIG Minas Gerais,new,2025-11-29T08:23:49.684Z
"Juliana Almeida",julianaalmeida55@gmail.com,(31) 97397-9700,1126,TRIFASICO,CEMIG Minas Gerais,new,2025-10-29T09:01:10.599Z
"Açougue Mineiro e Cia",aouguemineiroecia4@gmail.com,(31) 94465-8833,2649,TRIFASICO,CEMIG Minas Gerais,new,2025-10-23T07:24:21.714Z
"Luiz Costa",luizcosta88@gmail.com,(31) 96408-1609,1495,MONOFASICO,CEMIG Minas Gerais,new,2025-11-16T12:11:22.187Z
"Lucas Almeida",lucasalmeida17@gmail.com,(31) 95713-9344,3966,BIFASICO,CEMIG Minas Gerais,new,2026-01-03T22:55:56.283Z
"Ana Silva",anasilva66@gmail.com,(31) 95940-2188,3100,MONOFASICO,CEMIG Minas Gerais,new,2025-12-15T20:17:16.185Z
"Sorveteria Real",sorveteriareal18@gmail.com,(31) 95088-7458,1965,TRIFASICO,CEMIG Minas Gerais,new,2025-10-27T22:04:52.479Z
"Açougue Mais e Cia",aouguemaisecia1@gmail.com,(31) 90730-7727,2239,BIFASICO,CEMIG Minas Gerais,new,2025-12-30T03:28:19.140Z
"Mercado Central e Cia",mercadocentralecia88@gmail.com,(31) 90721-3504,2145,TRIFASICO,CEMIG Minas Gerais,new,2026-01-02T11:25:14.117Z
"Mercado Sabor e Cia",mercadosaborecia36@gmail.com,(31) 97021-3834,1287,TRIFASICO,CEMIG Minas Gerais,new,2025-12-24T13:12:48.426Z
"Açougue Mineiro e Cia",aouguemineiroecia37@gmail.com,(31) 90883-6780,1040,MONOFASICO,CEMIG Minas Gerais,new,2025-10-30T03:35:19.077Z
"Sorveteria Central Express",sorveteriacentralexpress81@gmail.com,(31) 90445-6703,2427,BIFASICO,CEMIG Minas Gerais,new,2025-11-03T11:57:11.370Z
"Mercado Sabor e Cia",mercadosaborecia29@gmail.com,(31) 99615-8347,3586,BIFASICO,CEMIG Minas Gerais,new,2025-10-18T13:18:09.146Z
"Mercado Puro",mercadopuro82@gmail.com,(31) 90193-5449,4819,BIFASICO,CEMIG Minas Gerais,new,2025-10-30T09:29:38.654Z
"Carlos Gomes",carlosgomes79@gmail.com,(31) 96381-0801,461,BIFASICO,CEMIG Minas Gerais,new,2025-11-14T02:07:56.992Z
"Açougue Mais Express",aouguemaisexpress68@gmail.com,(31) 99033-9811,1128,BIFASICO,CEMIG Minas Gerais,new,2026-01-01T12:26:56.597Z
"Sorveteria Sabor",sorveteriasabor55@gmail.com,(31) 96050-9408,3818,BIFASICO,CEMIG Minas Gerais,new,2025-10-13T22:37:50.674Z
"Padaria Mineiro",padariamineiro79@gmail.com,(31) 93748-3176,2341,TRIFASICO,CEMIG Minas Gerais,new,2025-12-17T13:52:46.939Z
"Antonio Pereira",antoniopereira61@gmail.com,(31) 97918-0415,2445,BIFASICO,CEMIG Minas Gerais,new,2026-01-05T10:55:48.509Z
"Mercado do Bairro e Cia",mercadodobairroecia20@gmail.com,(31) 90389-7886,2029,TRIFASICO,CEMIG Minas Gerais,new,2025-10-30T02:30:14.847Z
"Mercado Puro",mercadopuro53@gmail.com,(31) 96258-9995,356,MONOFASICO,CEMIG Minas Gerais,new,2025-11-15T20:55:55.581Z
"Mercado Tropical e Cia",mercadotropicalecia63@gmail.com,(31) 94993-4657,760,BIFASICO,CEMIG Minas Gerais,new,2025-10-25T16:37:34.469Z
"Açougue Mineiro",aouguemineiro67@gmail.com,(31) 96940-0614,2216,BIFASICO,CEMIG Minas Gerais,new,2025-10-27T12:43:47.934Z
"Mercado Mais",mercadomais62@gmail.com,(31) 95345-0123,2498,TRIFASICO,CEMIG Minas Gerais,new,2025-11-07T03:06:14.416Z
"Padaria Gostoso",padariagostoso86@gmail.com,(31) 99125-4634,2404,TRIFASICO,CEMIG Minas Gerais,new,2025-12-19T15:10:45.471Z
"Carlos Lima",carloslima68@gmail.com,(31) 92279-9193,2459,TRIFASICO,CEMIG Minas Gerais,new,2025-11-25T19:15:30.916Z
"Maria Souza",mariasouza30@gmail.com,(31) 91981-1126,3589,BIFASICO,CEMIG Minas Gerais,new,2025-11-30T03:58:15.906Z
"Mercado Gostoso Ltda",mercadogostosoltda79@gmail.com,(31) 94437-0897,3373,TRIFASICO,CEMIG Minas Gerais,new,2026-01-07T03:39:52.734Z
"Maria Ferreira",mariaferreira67@gmail.com,(31) 99749-5029,4555,BIFASICO,CEMIG Minas Gerais,new,2025-11-01T06:47:18.488Z
"Paulo Lima",paulolima13@gmail.com,(31) 95159-3549,4941,TRIFASICO,CEMIG Minas Gerais,new,2025-11-21T01:10:00.141Z
"Antonio Pereira",antoniopereira73@gmail.com,(31) 93248-9219,734,MONOFASICO,CEMIG Minas Gerais,new,2025-10-16T20:26:30.678Z
"Fernanda Gomes",fernandagomes11@gmail.com,(31) 90932-4480,478,BIFASICO,CEMIG Minas Gerais,new,2025-10-28T19:57:13.188Z
"Lucas Souza",lucassouza31@gmail.com,(31) 92882-2765,2353,BIFASICO,CEMIG Minas Gerais,new,2025-12-01T14:56:54.738Z
"Maria Pereira",mariapereira11@gmail.com,(31) 98691-5195,1382,MONOFASICO,CEMIG Minas Gerais,new,2025-11-27T22:16:57.349Z
"Sorveteria do Bairro e Cia",sorveteriadobairroecia73@gmail.com,(31) 97960-0051,1950,TRIFASICO,CEMIG Minas Gerais,new,2025-12-11T10:19:31.317Z
"Camila Silva",camilasilva1@gmail.com,(31) 93319-4251,4148,TRIFASICO,CEMIG Minas Gerais,new,2025-10-15T09:58:45.421Z
"Padaria Central Ltda",padariacentralltda58@gmail.com,(31) 90543-7862,1421,TRIFASICO,CEMIG Minas Gerais,new,2025-11-10T19:18:23.901Z
"Sorveteria Premium e Cia",sorveteriapremiumecia8@gmail.com,(31) 98458-5178,334,BIFASICO,CEMIG Minas Gerais,new,2025-10-14T04:02:17.113Z
"Mercado Central Ltda",mercadocentralltda95@gmail.com,(31) 90686-9790,2238,BIFASICO,CEMIG Minas Gerais,new,2025-10-29T14:47:42.350Z
"Mercado Mais e Cia",mercadomaisecia92@gmail.com,(31) 97017-8506,3774,BIFASICO,CEMIG Minas Gerais,new,2025-12-22T02:33:25.602Z
"Lucas Almeida",lucasalmeida55@gmail.com,(31) 90345-1793,4767,TRIFASICO,CEMIG Minas Gerais,new,2025-10-18T13:28:32.507Z
"Padaria Mineiro Ltda",padariamineiroltda88@gmail.com,(31) 90778-9335,588,TRIFASICO,CEMIG Minas Gerais,new,2025-12-10T02:28:45.524Z
"Sorveteria Real",sorveteriareal79@gmail.com,(31) 96335-4576,334,TRIFASICO,CEMIG Minas Gerais,new,2025-11-13T02:41:23.374Z
"Fernanda Costa",fernandacosta47@gmail.com,(31) 98443-5654,3533,BIFASICO,CEMIG Minas Gerais,new,2025-10-18T03:58:57.089Z
